filename,notes,authors,licenses,urls
"body/bodies/female/walk.png","see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating), bluecarrot16, TheraHedwig, Evert, MuffinElZangano, Durrani, Pierre Vigier (pvigier), ElizaWy, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-ladies, https://opengameart.org/content/lpc-7-womens-shirts, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-revised-character-basics, https://gitlab.com/vagabondgame/lpc-characters, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
"head/heads/wolf/female/walk.png","original wolf animation by Redshrike, commissioned by William.Thompsonj; wolfman sprite by BenCreating, commissioned by castelonia; tweaks and headless version by bluecarrot16","bluecarrot16, Sander Frenken (castelonia), Benjamin K. Smith (BenCreating), William.Thompsonj, Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-wolf-animation, https://opengameart.org/content/lpc-wolfman, https://opengameart.org/content/lpc-character-bases"
"head/faces/${head}/neutral/walk.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"body/tail/wolf/adult/fg/walk/black.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-furry-ears-tails-for-rpg-sprites"
"legs/skirts/legion/thin/walk.png","original by Nila122 to legion, adapted to v3 bases by bluecarrot16","bluecarrot16, Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates"
"torso/jacket/tabard/female/walk/red.png","original by wulax, edited to v3 base by bluecarrot16","bluecarrot16, Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, http://opengameart.org/content/lpc-clothing-updates"
